Target,BackBone,A,B,C,D
Apple,CmYLCV,35S::Cas9,S-RNase sgRNA,,
,CmYLCV,35S::Cas9,S-RNase sgRNA,Pnos::WUS2,
,CmYLCV,35S::Cas9,S-RNase sgRNA,35S::IPT,
,CmYLCV,35S::Cas9,S-RNase sgRNA,35S::WOX11,
,CmYLCV,35S::Cas9,S-RNase sgRNA,,YLCV::STM
,CmYLCV,35S::Cas9,S-RNase sgRNA,Pnos::WUS2,YLCV::STM
,CmYLCV,35S::Cas9,S-RNase sgRNA,35S::IPT,YLCV::STM
,CmYLCV,35S::Cas9,S-RNase sgRNA,35S::WOX11,YLCV::STM
,CmYLCV,35S::GFP,S-RNase sgRNA,,
,CmYLCV,35S::GFP,S-RNase sgRNA,Pnos::WUS2,YLCV::STM
,CmYLCV,35S::GFP,S-RNase sgRNA,35S::WOX11,YLCV::STM
Poplar,CmYLCV,35S::Cas9,PopAT-PDS sgRNA,,
,CmYLCV,35S::Cas9,PopAT-PDS sgRNA,Pnos::WUS2,YLCV::STM
,CmYLCV,35S::Cas9,PopAT-PDS sgRNA,35S::WOX11,YLCV::STM
,CmYLCV,35S::Cas9,PopAT-PDS sgRNA,Pnos::WUS2,YLCV::WOX1
,CmYLCV,35S::Cas9,PopAT-PDS sgRNA,,YLCV::WOX1
,CmYLCV,35S::GFP,PopAT-PDS sgRNA,,
,CmYLCV,35S::GFP,PopAT-PDS sgRNA,Pnos::WUS2,YLCV::STM
,CmYLCV,35S::GFP,PopAT-PDS sgRNA,35S::WOX11,YLCV::STM
,CmYLCV,35S::GFP,PopAT-PDS sgRNA,Pnos::WUS2,YLCV::WOX1
,CmYLCV,35S::GFP,PopAT-PDS sgRNA,,YLCV::WOX1
