Target,BackBone,A,B,C,D
Apple,35S::nptII BeYDV,35S::Cas9,S-RNase sgRNA,,
,35S::nptII BeYDV,35S::Cas9,S-RNase sgRNA,Pnos::WUS2,
,35S::nptII BeYDV,35S::Cas9,S-RNase sgRNA,35S::IPT,
,35S::nptII BeYDV,35S::Cas9,S-RNase sgRNA,35S::WOX11,
,35S::nptII BeYDV,35S::Cas9,S-RNase sgRNA,,YLCV::STM
,35S::nptII BeYDV,35S::Cas9,S-RNase sgRNA,Pnos::WUS2,YLCV::STM
,35S::nptII BeYDV,35S::Cas9,S-RNase sgRNA,35S::IPT,YLCV::STM
,35S::nptII BeYDV,35S::Cas9,S-RNase sgRNA,35S::WOX11,YLCV::STM
,35S::nptII BeYDV,35S::GFP,S-RNase sgRNA,,
,35S::nptII BeYDV,35S::GFP,S-RNase sgRNA,Pnos::WUS2,YLCV::STM
,35S::nptII BeYDV,35S::GFP,S-RNase sgRNA,35S::WOX11,YLCV::STM
Poplar,35S::nptII BeYDV,35S::Cas9,PopAT-PDS sgRNA,,
,35S::nptII BeYDV,35S::Cas9,PopAT-PDS sgRNA,Pnos::WUS2,YLCV::STM
,35S::nptII BeYDV,35S::Cas9,PopAT-PDS sgRNA,35S::WOX11,YLCV::STM
,35S::nptII BeYDV,35S::Cas9,PopAT-PDS sgRNA,Pnos::WUS2,YLCV::WOX1
,35S::nptII BeYDV,35S::Cas9,PopAT-PDS sgRNA,,YLCV::WOX1
,35S::nptII BeYDV,35S::GFP,PopAT-PDS sgRNA,,
,35S::nptII BeYDV,35S::GFP,PopAT-PDS sgRNA,Pnos::WUS2,YLCV::STM
,35S::nptII BeYDV,35S::GFP,PopAT-PDS sgRNA,35S::WOX11,YLCV::STM
,35S::nptII BeYDV,35S::GFP,PopAT-PDS sgRNA,Pnos::WUS2,YLCV::WOX1
,35S::nptII BeYDV,35S::GFP,PopAT-PDS sgRNA,,YLCV::WOX1
